NRPD,POIT,MTPD,DSMT,13MT,14MT,CPIT,UMIT,PNIT,PBIT,VOIT,VLIT,MOIT,PLIT,CEIT,FEIT,STIP,ENIT,POEN,FEEN,HREN,CPEN,CTEN,STIT,BQEN,DSBQ,BQFA,DSBF,MTEN,DSEN,13EN,14EN,CPCP,SHID,HSID,CCEN,FECE,HRCE,CPCE,PNCC,PBCC,VOCC,PLCC,ENPG,PGFE,PGHR,PGUS,CDEN,ENRE,REFE,REHR,REUS,ENFA,ENFE,FATY,FAFE,FAHR,FAUS,CTFA,PNFA,PBFA,VOFA,VLFA,PLFA
2390059,40,1000002582,MINI TORTILLA DE  ESPINACA 32 X 0.210 KG,,,1,CS,6.72,7.17,,2673.34,ARS,0.01,6210,02/06/2016,,83084078,40,02/05/2016,,,6210,C,,,,,1000002582,MINI TORTILLA DE  ESPINACA 32 X 0.210 KG,,,1,2425601,,1,,,,6.72,7.17,,0.01,4915212442,02/05/2016,,,1,1160R00007889,,,,907656015,4510A00003372,ZF2,02/05/2016,,,1,6.72,7.17,,,0.01
2390061,10,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,CS,4.44,5.34,,723.45,ARS,0.02,6207,02/06/2016,,83084079,10,02/05/2016,,,6207,C,,,,,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,2424978,,1,,,,4.44,5.34,,0.02,4915208449,02/05/2016,,,1,8059R00160189,,,,907655809,4508A00083753,ZF2,02/05/2016,,,1,4.44,5.34,,,0.02
2390062,10,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,CS,4.44,5.34,,723.45,ARS,0.02,6207,02/06/2016,,83084080,10,02/05/2016,,,6207,C,,,,,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,2424978,,1,,,,4.44,5.34,,0.02,4915208450,02/05/2016,,,1,8059R00160190,,,,907655806,4508A00083750,ZF2,02/05/2016,,,1,4.44,5.34,,,0.02
2390063,10,110A21991,GOLDEN LONGS 12X1KG,,,1,CS,12,12.76,,911.69,ARS,0.02,6207,02/06/2016,,83084081,10,02/05/2016,,,6207,C,,,,,110A21991,GOLDEN LONGS 12X1KG,,,1,2424978,,1,,,,12,12.76,,0.02,4915208451,02/05/2016,,,1,8059R00160191,,,,907655807,4508A00083751,ZF2,02/05/2016,,,1,12,12.76,,,0.02
2390063,20,110A23121,HORNEABLES 12X720G,,,1,CS,8.64,9.27,,911.69,ARS,0.02,6207,02/06/2016,,83084081,20,02/05/2016,,,6207,C,,,,,110A23121,HORNEABLES 12X720G,,,1,2424978,,1,,,,8.64,9.27,,0.02,4915208451,02/05/2016,,,1,8059R00160191,,,,907655807,4508A00083751,ZF2,02/05/2016,,,1,8.64,9.27,,,0.02
2390064,10,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,CS,4.44,5.34,,1303.14,ARS,0.02,6207,02/06/2016,,83084082,10,02/05/2016,,,6207,C,,,,,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,2424978,,1,,,,4.44,5.34,,0.02,4915208453,02/05/2016,,,1,8059R00160192,,,,907655808,4508A00083752,ZF2,02/05/2016,,,1,4.44,5.34,,,0.02
2390064,20,121MZ1121,MOZZARELLA 10X470G,,,1,CS,4.7,5.845,,1303.14,ARS,0.01,6207,02/06/2016,,83084082,20,02/05/2016,,,6207,C,,,,,121MZ1121,MOZZARELLA 10X470G,,,1,2424978,,1,,,,4.7,5.845,,0.01,4915208453,02/05/2016,,,1,8059R00160192,,,,907655808,4508A00083752,ZF2,02/05/2016,,,1,4.7,5.845,,,0.01
2390065,10,110A21991,GOLDEN LONGS 12X1KG,,,1,CS,12,12.76,,784.11,ARS,0.02,6201,02/10/2016,,83084083,10,02/05/2016,,,6201,C,,,,,110A21991,GOLDEN LONGS 12X1KG,,,1,2425303,,1,,,,12,12.76,,0.02,4915211012,02/05/2016,,,1,8163R00009832,,,,907655910,4502A00005048,ZF2,02/05/2016,,,1,12,12.76,,,0.02
2390065,20,110A31091,CORTE TRADICIONAL 12X720G,,,1,CS,8.64,9.26,,784.11,ARS,0.01,6201,02/10/2016,,83084083,20,02/05/2016,,,6201,C,,,,,110A31091,CORTE TRADICIONAL 12X720G,,,1,2425303,,1,,,,8.64,9.26,,0.01,4915211012,02/05/2016,,,1,8163R00009832,,,,907655910,4502A00005048,ZF2,02/05/2016,,,1,8.64,9.26,,,0.01
2390066,10,110A31091,CORTE TRADICIONAL 12X720G,,,1,CS,8.64,9.26,,318.96,ARS,0.01,6201,02/10/2016,,83084084,10,02/05/2016,,,6201,C,,,,,110A31091,CORTE TRADICIONAL 12X720G,,,1,2425303,,1,,,,8.64,9.26,,0.01,4915211013,02/05/2016,,,1,8163R00009833,,,,907655912,4502A00005050,ZF2,02/05/2016,,,1,8.64,9.26,,,0.01
